2023-01-04T22:18:10.809Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:18:48.223Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:19:45.691Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:19:58.309Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:20:20.245Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:20:21.221Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:20:28.329Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:21:55.626Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:22:15.064Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:22:26.912Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:22:29.338Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:22:37.883Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:22:58.325Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:23:20.685Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:23:22.490Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:23:42.662Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:25:10.983Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:25:42.098Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:25:59.033Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:26:05.866Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:26:27.864Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:26:40.983Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:28:51.867Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:28:52.694Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:28:53.252Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:28:53.476Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:28:53.722Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:28:53.863Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:28:53.989Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:28:54.133Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:29:06.733Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:29:59.824Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:30:02.129Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:30:02.529Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:30:02.844Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:30:03.812Z [ERROR]: RUTA: /Productos, METODO: GET, ERROR: undefined
2023-01-04T22:30:10.306Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:30:46.871Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:32:17.409Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:32:36.152Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:32:37.735Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:32:45.779Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:41:47.782Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:42:11.489Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
2023-01-04T22:42:22.439Z [ERROR]: RUTA: /, METODO: GET, ERROR: undefined
